Rank,Team ID,Manager,Rating
1,4719275,Fábio Borges,98.93
2,24045,Mark Hurst,98.75
3,319,Tom Dollimore,98.73
4,714236,David Fairchild,98.62
5,2869,Ben Crellin,98.37
6,1902266,John Walsh,98.27
7,205,Michael Giovanni,98.26
8,1210,Jan Kępski,98.23
9,41443,Tom N,98.22
10,65,Markku Ojala,98.22
11,2492481,Runar Andersen,98.19
12,144151,Torkel Wahl-Olsen,98.09
13,40200,Jørgen Stenseth,98.06
14,3544,Harry Daniels,98.04
15,17665,Mats Oftedal,98.03
16,7511,Conor's Team,98.03
17,254807,Rob Mayes,98.03
18,337276,Andy Dutton,98.02
19,50157,Sam Hackett,97.99
20,94678,Martin Janson,97.98
21,61096,Dan Wright,97.94
22,155,Jack Vamplew,97.94
23,4896678,Sam Burton,97.93
24,15232,Mark Mansfield,97.92
25,12319,Lion King,97.91
26,3789181,Jon Ballantyne,97.91
27,15267,_Calm _,97.9
28,15318,Paul Quilter,97.88
29,3091,Bjørnar Jakobsen,97.87
30,84469,Jack B,97.85
31,131357,Finn Sollie,97.84
32,54493,Paul Marshman,97.83
33,11377,Sondre Haug,97.83
35,9355,Jerome Hughes,97.8
36,45747,Jamie Rafferty,97.78
37,345516,Liad Levy,97.78
38,14111,Grant Christie,97.77
39,101631,Daniel Hennessey,97.76
40,5726,Łukasz Woźniak,97.75
41,749244,Cak Juris,97.75
42,4222,Sigurd Holen,97.71
43,272843,Jakob Dotevall,97.7
44,230578,Matt Corbidge,97.7
45,1361478,Jon Corke,97.68
46,31839,Ben Alexander,97.66
47,6632,Jesper Øiestad,97.66
48,12882,Tom Stephenson,97.66
50,1045,Jamie Kellas,97.65
51,6882,Murat Erdemli,97.65
52,9700,Jovan Popović,97.65
53,1553,Sam T,97.65
54,317024,Sean Tobin,97.63
55,184514,Troy Tobin,97.62
56,2219297,Gatis Stepanovs,97.62
57,139239,Ómar Olgeirsson,97.62
58,29170,Matt Lovatt,97.62
59,96454,Andrew Fowke,97.6
60,27954,Bradley Finney,97.59
61,364831,Antti Nieminen,97.59
62,15209,Kelvin Hang,97.59
63,167903,Przemysław Pawelec,97.59
64,9377,Ahmed Mohamed,97.59
65,145512,Cameron Scott,97.58
66,54431,Morten Tveito,97.58
67,4665750,Brusdal Brusdal,97.58
68,1579463,Adam Osak @StoichkovFPL,97.58
70,6147,John Canning,97.56
71,2452101,S K,97.55
72,2551,Nick Jones,97.55
73,480805,Asgeir Gylland,97.55
74,664021,Harry West,97.54
75,77447,Michael Williams,97.54
76,44114,Abinav C,97.54
77,5002778,Tom Grant,97.53
78,5251932,Ian Wilson,97.53
79,198971,Simon MacNair,97.52
80,1182027,vincent townsend,97.52
81,42362,Bjarne Martinussen,97.51
82,18413,Laurence Imich,97.5
83,3657440,Chris Jenkins,97.5
84,226638,Mark Campbell,97.49
85,242480,Benjamin Sirnes,97.49
86,24576,Obay Eid,97.48
87,4836843,Stephen Devlin,97.48
88,29930,Knut Henrik Rolland,97.48
89,284204,Ross M,97.48
90,40608,John Sverre Lovaas,97.48
91,95615,Justin Rees,97.47
92,2282,Richard Smith,97.47
93,3916567,Matthew Cornford,97.47
94,11368,Richard Clarke,97.47
96,3099950,Daniel birkett,97.44
97,2786,Bogdan Vasile,97.44
98,39777,Mohamed Hany,97.44
99,59050,kieren russell,97.44
100,108434,Ally Christodoulou,97.44
101,12604,Paulius Uziela,97.44
102,5203441,Joseph Humphreys,97.43
103,2087672,David (@DayvyFPL),97.43
104,60892,Marc Yonkers,97.43
105,17377,David Westman,97.43
106,302,Tom Rowe,97.43
107,13,Jack Palmer,97.42
108,1222335,sameer sohail,97.42
109,1965607,Danni Mogensen,97.42
110,179414,Theodor Ingi Palmason,97.41
111,625585,Greg Mckenzie,97.4
112,56200,Harry Vernon,97.39
113,208375,Douglas Sharp,97.38
115,4728,Sean Connors,97.38
116,7497,Ahmed Shahin,97.38
117,444338,Dave Addy,97.38
118,269,Ben Houghton,97.37
119,224426,Brian Lord,97.37
120,2237,Justin Zhao,97.37
121,4619601,Seb Wassell,97.36
122,5658,James Cooper,97.36
123,418480,Endre Berg Leiren,97.36
124,13119,Craig Marshall,97.36
125,3514,Peter Brooks,97.36
126,11429,Uno Jakobsson,97.35
127,33845,Jacob Meincke,97.34
128,4604,William Johansson,97.34
129,88978,Even Skårholen,97.34
130,5305,Ole Martin Stabbetorp,97.34
131,68848,Yavuz Kabuk,97.33
132,769,Stephen Courtney,97.33
133,1936967,Eivind Thorsen,97.33
135,2054363,Kjell André Egeland,97.33
138,10321,Adithya Mani,97.32
139,9505,Utkarsh D,97.32
140,1658797,Luiz Schiller,97.31
141,912,Prajwal Panthi,97.31
142,108156,Gary Hatfield,97.3
143,447105,Tom Baxter,97.29
144,77561,Øyvind Bjørnevik,97.29
145,7165,Cian McPeake,97.28
146,312429,Mato Stanic,97.28
147,161658,Baste Kolnes,97.27
148,599510,Murray Tainton,97.27
149,12781,Jason Fleming,97.26
150,27798,Spencer Toon,97.26
151,15780,Ryan ROWE,97.26
152,53331,Christoffer Magnus,97.26
153,2345,Stephan Haugsrud,97.26
154,32145,James Bailey,97.26
155,92691,Algot Bergman,97.26
156,4930,Ilmari Juva,97.26
157,156,Abdul Rehman,97.25
158,16673,lari ahti,97.25
159,13113,Brent Horner,97.25
160,3824,Joel E,97.25
161,19223,Stephen Carey,97.25
162,1469584,Richard Straker,97.25
163,2487,Chris Bristow,97.24
164,22813,David Faukner Bendiksen,97.24
165,3871,Alastair Cowper,97.24
166,2067,Onur Ersoy,97.24
167,8771,Richard Wehinger Krafft,97.24
168,2331395,Niall O'Connor,97.24
169,643288,Aswin N,97.24
170,38351,Ignazio La Rosa,97.23
171,15104,Dan Simpo,97.23
172,451868,Gary Lee,97.23
173,229773,Bharat Batra,97.22
174,25562,The Magician,97.22
175,3643071,Aasmund Woldsengen,97.22
176,107711,Ha fiz,97.22
177,254600,David Meechan,97.22
178,649,Anthony Ede,97.22
179,3867,Dan Bennett,97.22
180,78852,Stefan Kalinić,97.22
181,51527,Tuomas Harjula,97.21
182,4167286,Euan Thompson,97.21
183,658508,Jeremy Calloud,97.21
184,6646,Samson Baretto,97.21
185,594027,Tod Modisette,97.21
186,8374,Sindre Askeland,97.21
187,6976,Tore Kalleberg,97.21
188,8554,Diarmuid Gallagher,97.21
189,27632,Babis Pavlou,97.21
190,547493,Tommy Shinton,97.2
191,1756,FPL Pro,97.2
192,4531,Karl Durant,97.2
193,405429,Harry von Behr,97.2
194,259972,Liam Quinn,97.2
195,108962,Fredrik Hovden,97.19
197,126948,Anthony Brown,97.19
198,13898,George Owen,97.18
199,47562,Antti Lehtinen,97.18
200,2584,Henry Shere,97.18
201,33505,Henry Ilonen,97.18
202,618009,Patrick Mathias,97.18
203,12171,Jonas Fougner,97.17
204,658584,Inge Berqvam,97.17
205,72526,Marius Aas,97.16
206,584884,Balajee C R,97.16
207,373634,gavin butler,97.16
208,41057,Mark Brookes,97.16
209,8654,Nick Spencer,97.16
210,556747,Nathan Jones,97.16
211,158807,Nenad Bozic,97.16
212,250030,Garry Murray,97.16
213,4805,Pras United,97.15
214,7732,Raïsh Ganpat,97.15
215,6366,HS Lee,97.15
216,613429,Matthew Lambert,97.15
217,2150059,Richard Beale,97.15
218,71474,Daniel Brenn,97.15
219,18024,Tobias Grahl,97.15
220,170170,Morten Offerdal,97.15
221,18095,Dave Round,97.14
222,45005,Vitalio Lyudmilov 🇧🇬,97.14
223,660573,Fintan O'Sullivan,97.13
224,686984,Sebastian Jönsson,97.13
225,264567,Jon Thomsen,97.13
226,255425,Alexander Quant,97.13
227,61740,Slaven Mihelic,97.13
228,280836,John Loney,97.12
229,4691427,Joel Nordkvist,97.12
230,520129,Philip Ridgill,97.12
231,666563,Owen Walker (Zan K),97.12
232,909,Michael Scott,97.12
233,20382,Jack Watton,97.12
234,129262,Joe Benorthan,97.12
235,1765788,Robbie Wilson,97.11
236,1817274,Marcin Rodziewicz,97.11
237,1459164,Mark Antoncich,97.11
238,4213,Sakari Uutela,97.11
239,53359,Johnny Brosnan,97.1
240,4573969,Andy Wilson,97.1
241,680928,Srdjan Labus,97.1
242,2413,Eoghan McLaughlin,97.09
243,584935,Petteri Ylimaa,97.09
244,179807,Nick Warner,97.09
245,9477,Paul Dowd,97.09
246,1939,James Harding,97.09
247,115490,Iain Walker,97.09
248,2388396,Knut Masdal,97.08
249,661480,Alexander Lynskey,97.08
250,7549,D C,97.08
251,56,Mateusz Skowronek,97.08
252,3288727,Marcus Möller,97.07
253,44103,Adam O’Brien,97.07
254,4461831,Bei Guo,97.07
255,580638,Harry Fowles,97.07
256,513738,Alexander Krogstad,97.07
257,1162248,Paul Godson,97.07
258,15391,@ fplresearch,97.07
259,658,Marta Dąbrowska,97.07
260,4640135,Aaron Milliss,97.07
261,162167,Joe Stone,97.07
262,186270,Isaac P,97.06
263,1551,Dan Furneaux,97.06
264,17068,Will Baxter,97.06
265,20710,Jake Brown (westerman),97.06
266,23357,Siddharth Mohindroo,97.06
267,50187,Michael Dodd,97.06
268,1965482,Mike Davis,97.05
269,185680,Mark Bennett,97.05
270,291996,Gavin Doherty,97.05
272,20838,Daniel Reeves,97.05
273,86862,Sava Stefanović,97.05
274,14971,Calum Miller,97.05
275,48765,Teemu Remes,97.05
276,23480,Robert Rowbotham,97.04
277,2367125,Anders Grue,97.04
278,1089558,Charlie Metcalfe,97.04
279,518206,Andrew Foley,97.04
280,9654,Alexander Johansen,97.04
281,11,Ivar Mehl Olsen,97.04
282,14591,Mike Jongerius,97.04
283,2428761,Paul Townsend,97.03
284,163076,Magnus Tjelle,97.03
285,57609,Joakim Ahlström,97.03
286,171563,Oliver Symes,97.03
287,16874,Jordie van der Laan,97.03
288,607026,Sam Varghese,97.03
289,3002,Paul Treacy,97.03
290,3993751,Darragh Mulligan,97.03
291,152245,Qian Hao Ong,97.02
292,18650,Andrew Neave,97.02
293,13623,Christopher Corkery,97.02
295,1810594,Stewart Duthie,97.02
296,300554,Divine Precious,97.01
297,163303,Tor Mikkel Tokvam,97.01
298,348300,Emil Gustafsson,97.01
299,23533,Mike Maloney,97.01
300,15804,Carrick Loh,97.01
301,31196,mohamed ahmed,97.01
302,80575,Adam Hopcroft,97
303,19581,Mike Hyland,97
304,1201,David Nataf,97
305,572,Alex Dalziel,97
306,19673,Alex Ivison,96.99
307,32279,Arne Barsnes,96.99
308,68333,Adam Grupiński,96.99
309,197484,Kristoffer Asp,96.99
310,85176,Matt Revill,96.99
312,66161,Łukasz Kublik,96.98
313,58922,Andrew Shaw,96.98
314,24,Andy LTFPL,96.98
315,51611,Stian Nilsen Nornes,96.97
316,1935951,Torstein Gunnarsen,96.97
317,193210,David dunts1,96.97
318,13819,Suzanne Treacy,96.97
319,3927682,Harry Balfour,96.97
320,5289,Mark Sutherns,96.96
321,700929,luka h,96.96
322,32973,Kieran Butterill,96.96
323,9763,Christos Myrtos,96.96
324,10750,Jorn Verheijden,96.96
325,930733,Richard Jacobson,96.96
326,1387701,Christian Lind Engelstad,96.96
327,88350,Shane Holohan,96.96
328,1220056,Alasdair Pearce,96.96
330,32139,David Cousins,96.95
331,9512,Albert Gudmundsson,96.95
333,171157,Geordie Wilson,96.95
334,757241,Giga Fren,96.95
335,257784,Count Rayan Ashcar,96.95
336,799878,Tom Russell,96.95
337,11577,Si Rutherford,96.94
338,51553,Udememfon Ekarika,96.94
339,32953,James Harrison,96.94
340,39399,Przemysław Mosiołek,96.94
341,105405,James Marley,96.94
342,391,Dominic Campbell,96.94
343,507747,Craig Macpherson,96.94
344,3534670,Ralph Prince,96.94
345,158705,Stuart Ukwu,96.94
346,1648237,Tomek Majczak,96.94
347,262485,Jamie Brown,96.94
348,4124242,Matthew Main,96.94
349,242189,Tom Davey,96.94
350,11302,Jesper Ottoson,96.94
351,5290,Adrian I,96.93
352,85,Lee Byron,96.93
353,2698,Vinay Ashwin,96.93
354,1074185,Simen Uggerud,96.93
355,155533,Alan Holohan,96.93
356,241552,Corey Baker,96.92
357,1546929,Liam McAllister,96.92
358,38390,Paul Foulder,96.92
359,26271,Ole Nikolai Lie,96.92
360,110169,Pakorn Songsiri,96.92
361,577273,Adam Ferguson,96.92
362,296625,Chevyn Luckyram,96.92
363,144786,Aleks Goral,96.92
364,829,Rosco Logawood,96.92
365,41562,Benjamin Yak,96.92
366,4446,Anders Lium,96.91
367,146709,Stephen Gallagher,96.91
368,5730,Lee Giles,96.91
369,4475,Callum Croal,96.91
370,390127,Julian Glenesk,96.91
371,562,Christian Larisch,96.91
372,186289,Kalnis Kalnis,96.91
373,169918,Teodor Karov,96.9
374,39643,Cristopher Ribbfjärd,96.9
375,12569,Will Thomas,96.9
376,18288,Erik Sole Haugsbø,96.9
377,622520,Daniel Brakus,96.9
378,2356310,Tom Burton,96.9
379,114143,Mike Dobson,96.9
380,308844,Kevin Lamb,96.89
381,2998821,Martin Sichelkow,96.89
382,1406429,Max Bentley,96.89
383,2034,Simon Wallin,96.89
384,505,Ryan Cameron,96.89
385,362272,Phil Ampleford,96.89
386,4997,frenk van harreveld,96.89
387,1870022,ALAN DAY,96.89
388,44294,Aleksander Våge Nilsen,96.89
389,9747,Jake Coren,96.88
391,42722,Daniel Lofts,96.88
392,806,Aaron Lofthouse,96.88
393,5751,Dexter Allsworth,96.87
394,473726,Scott McIrvine,96.87
395,1177,Mark Lynch,96.87
396,165143,Roddy More,96.87
398,262787,Jinzhou Yeow,96.87
399,346074,Pål Kristiansen,96.87
400,3797,Anthony Moylette,96.87
401,124356,Ryan Skeoch,96.87
402,37056,Gursimran Singh,96.86
403,1062431,Ralph Utton,96.86
404,2347950,Nick Dowling,96.86
405,3224697,Mungo McNair,96.86
406,2443977,Peter Dalström,96.86
407,12519,Elliot Wilson,96.86
408,18375,Eka Saputra,96.85
409,2234339,Alex Stones,96.85
410,1057224,Axel Knowles,96.85
411,222774,Stian Endre Olsen,96.85
412,956385,Thomas Hewitt,96.85
413,106661,Tom Richmond,96.85
414,463,大骗子 笨笨,96.85
415,3102369,Torbjørn Lønne Lunden,96.84
416,4867,Rich Stevens,96.84
417,6980,Damjan Rupnik,96.84
418,17542,Tim Stewart,96.84
419,1008,Tom Kirkup,96.84
420,1045566,Ethan DellaMaestra,96.84
421,3152360,Darragh Gibbons,96.84
422,52438,Rune Risanger,96.83
424,39935,Eldho Mathew,96.83
425,392,Colin Innes,96.83
426,1112413,Sam Eckley,96.83
427,3523,Marc Nunes,96.83
429,16086,Vincent Lin,96.83
430,55915,Chrome Dome,96.83
431,2377165,Paul Curtis,96.83
432,1872,Adnan Hajrulahovič,96.83
433,445127,James Smith,96.83
434,235419,Mario Radić,96.83
435,15582,Tomasz Kucharski,96.83
436,609496,Alexandros Vlavianos,96.83
437,55164,Vladimir Zeljković,96.83
438,1014005,Carson Cook,96.82
439,4941235,Matic Dimic,96.82
440,621591,Luke Pasfield,96.82
441,36768,Steven Bridges,96.82
442,717432,Darren Valet,96.82
443,10879,Mat Gilbert,96.82
444,194405,Henning Stien,96.82
445,2219695,Robert Wattel,96.82
446,426150,Joe Fazackerley,96.82
447,33151,Jason Carmody,96.82
448,4002155,Thomas K,96.82
449,43584,Milos Podgorac,96.82
450,4131447,Tim Hill,96.81
451,23131,Jack Oswald,96.81
452,148429,Uzair Rizwan,96.81
453,312919,Damian Gralak,96.81
454,252298,Robel Asfaha,96.81
455,50033,Sam McKenzie,96.8
456,12379,Tom Miller,96.8
457,539586,Travis Kelley,96.8
458,546,Lennie Peoples,96.8
459,28608,Sam Currie,96.8
460,9220,Aksel Arman,96.79
461,5210,Ola Svanheld,96.79
462,9465,Hallstein Brøtan,96.79
463,27232,Ronan Tierney,96.79
464,2751855,David Corkett,96.79
465,6051,James Fenwick,96.79
466,1993385,Brendan Hallab,96.79
467,265715,Andrea D'Souza,96.79
468,2307076,Amy Riley,96.79
469,4693123,Ross Graham,96.78
470,38513,Mattias Forsblom,96.78
471,3382580,Kieran O'Brien,96.78
472,19044,James Watson,96.78
473,11488,Ger Newman,96.78
474,1131825,Conor Falvey,96.78
475,2512,Dino Shan,96.78
476,364994,Terry Shoulder,96.78
477,21748,Arild Formo,96.78
478,208,Gaz Moore,96.78
479,270241,Ridder Preben Andersen,96.77
480,23285,Dan West,96.77
481,162903,Kasper Finnila,96.77
482,1563,Simon Linford,96.77
483,485665,Eitan A B,96.77
484,353819,Alex Tomats,96.77
485,10904,John McHugh,96.77
486,59465,Gary Mayo,96.77
487,80687,Mahyar Ag,96.77
489,1009,Kaloyan Nikolov,96.77
490,112720,Paul Gee (@FPLPaulGee),96.77
491,1018612,Nimrod Singerman,96.77
492,16104,Alexander Borge,96.77
493,2960687,Ashton Shields,96.76
494,117178,Joseph Crilley,96.76
495,6830,Christian Paulsen,96.76
496,1478454,Barry Meredith,96.76
497,3474100,Matt Salter,96.76
499,198820,James Addy,96.76
500,37013,Tom Purslow,96.76
501,489461,Ben Murphy,96.76
502,23851,Adam Burton,96.76
503,36135,Austin Ellinor,96.76
504,381764,Kevin Lee,96.76
505,99102,Geraldas Butkevicius,96.75
506,21,Chris Musson,96.75
507,56766,Harrison Packer,96.75
508,24096,Radim Horák,96.75
509,2985,Tom Freeman,96.75
510,66908,Dmytro Zaichenko,96.75
511,59226,Adam Seel,96.75
512,81993,Marc El-Khoury,96.75
513,26362,Danny Wright,96.74
515,1274934,Louis Reddington,96.74
516,10110,Krystian Koper,96.74
517,275010,Sachin Patel,96.74
518,14683,Lars Johannessen,96.74
520,3000330,Dom cooke,96.73
521,2360,Rick Porter,96.73
522,262296,Kenneth Larsen,96.73
523,5215,Daniel Blythe,96.73
524,338871,Andrew Debenham,96.73
